Firma;Website;Gesamtbewertung;Punkte;Einstufung;Ausschlussgrund;Kurzbegründung;Datenqualität;Ort;Land;Produktkategorien;Mitarbeiter;Umsatz (Mio. EUR);Konzernmutter;Quelle;Beleg;LinkedIn Firmenprofil URL;F1 Branche;F1 Begründung;F2 Region;F2 Begründung;F3 Mitarbeiterzahl;F3 Begründung;F4 Jahresumsatz;F4 Begründung;B1 Präzisionsanspruch in Druckwerk und Bogenführung;B1 Begründung;B2 Druckwerke, Bogeneinzug und Bahnführung als Kernbaugruppen;B2 Begründung;B3 Einsatz von Linear- und Antriebstechnik;B3 Begründung;B4 Ersatzteil- und Servicegeschäft;B4 Begründung;B5 Hohe Taktzahlen und Serienmaschinenbau;B5 Begründung;B6 Eigene Entwicklung und Konstruktion von Neumaschinen;B6 Begründung;B7 Strukturierter Einkauf und Lieferantenmanagement;B7 Begründung;B8 Qualitätssicherung und dokumentierte Prüfung;B8 Begründung
Graficon Maschinenbau AG;https://www.graficon.ch/;C;62;Bedingter Fit;kein Ausschlusskriterium;3 von 12 Kriterien mit A, 1 mit D, 2 ohne Datenbasis. Kernprodukt laut Recherche: Spezialmaschinen und Druckwerke fuer Flexo- und Etikettendruck. Auf der Website 21 Fundstellen zu Kernbegriffen: Inkjet (7), Flexodruck (4), Etikettendruck (3), Druckmaschine (2).;Mittel, nur Website, 73 Prozent der Kriterien belegt;9303 Wittenbach;Schweiz;Spezialmaschinen und Druckwerke fuer Flexo- und Etikettendruck;k. A.;k. A.;;Websuche Flexodruckmaschinen Hersteller;"Website: Produkte Spezialmaschinen, Baueinheiten, Flachsieb- und Flachpraegewerke; entwickelt und produziert in eigener 3800-m2-Fabrik (Warschau); zudem Vertrieb Bobst Firenze und Grafotronic.";https://www.linkedin.com/company/graficon-maschinenbau-ag;A;Kernprodukt laut Recherche: Spezialmaschinen und Druckwerke fuer Flexo- und Etikettendruck. Auf der Website 21 Fundstellen zu Kernbegriffen: Inkjet (7), Flexodruck (4), Etikettendruck (3), Druckmaschine (2).;C;Sitz 9303 Wittenbach, Schweiz, im deutschsprachigen Raum, Zielregion ist Heidelberg.;N;Keine belegte Mitarbeiterzahl (weder Recherche noch Website).;N;Kein Umsatz veröffentlicht und keine Mitarbeiterzahl zum Ableiten.;C;Schwacher Beleg, nur präzise (1) auf 6 Seiten.;A;3 Begriffe mit 7 Fundstellen auf 6 Seiten: Register (4), Bogen (2), Druckwerk (1).;C;Keiner der Begriffe auf 6 gecrawlten Seiten gefunden. Bauteil- oder Fachvokabular steht selten auf Firmenwebsites, daher kein Abzug bis D.;A;3 Begriffe mit 14 Fundstellen auf 6 Seiten: Wartung (9), Ersatzteil (4), Standzeit (1).;D;Keiner der Begriffe auf 6 gecrawlten Seiten gefunden.;C;Schwacher Beleg, nur Innovation (1) auf 6 Seiten.;B;1 Begriffe mit 1 Fundstellen: Lieferant (1).;B;1 Begriffe mit 1 Fundstellen: Zertifizierung (1).
Hohner Maschinenbau GmbH;https://www.hohner-postpress.com/?L=0;C;62;Bedingter Fit;kein Ausschlusskriterium;4 von 12 Kriterien mit A, 2 mit D, 2 ohne Datenbasis. Randbereich der Zielbranche laut Recherche: Sammelhefter und Drahtheftmaschinen. Auf der Website 24 Fundstellen zu Kernbegriffen: Digitaldruck (12), Druckmaschine (6), Inkjet (6).;Mittel, nur Website, 73 Prozent der Kriterien belegt;78532 Tuttlingen;Deutschland;Sammelhefter und Drahtheftmaschinen;k. A.;k. A.;;Startliste;industrystock/Branchenquellen: Hersteller von Drahtheft- und Sammelheftmaschinen fuer die Druckweiterverarbeitung mit Sitz in Tuttlingen.;https://www.linkedin.com/company/hohner-maschinenbau-gmbh;B;Randbereich der Zielbranche laut Recherche: Sammelhefter und Drahtheftmaschinen. Auf der Website 24 Fundstellen zu Kernbegriffen: Digitaldruck (12), Druckmaschine (6), Inkjet (6).;B;Sitz 78532 Tuttlingen, Deutschland, im Land der Zielregion (Heidelberg), aber nicht in der Region selbst.;N;Keine belegte Mitarbeiterzahl (weder Recherche noch Website).;N;Kein Umsatz veröffentlicht und keine Mitarbeiterzahl zum Ableiten.;A;2 Begriffe mit 27 Fundstellen auf 9 Seiten: präzise (21), Genauigkeit (6).;D;Keiner der Begriffe auf 9 gecrawlten Seiten gefunden.;C;Keiner der Begriffe auf 9 gecrawlten Seiten gefunden. Bauteil- oder Fachvokabular steht selten auf Firmenwebsites, daher kein Abzug bis D.;A;2 Begriffe mit 87 Fundstellen auf 9 Seiten: Wartung (67), Verfügbarkeit (20).;B;1 Begriffe mit 6 Fundstellen: Taktzahl (6).;A;3 Begriffe mit 84 Fundstellen auf 9 Seiten: Innovation (59), Entwicklung (13), Konstruktion (12).;D;Keiner der Begriffe auf 9 gecrawlten Seiten gefunden.;A;3 Begriffe mit 27 Fundstellen auf 9 Seiten: zertifiziert (13), Zertifizierung (7), Dokumentation (7).
PERFECTA Precision Cutting Systems GmbH;https://www.perfecta.de/de/index.html;C;62;Bedingter Fit;kein Ausschlusskriterium;2 von 12 Kriterien mit A, 1 mit D, 2 ohne Datenbasis. Randbereich der Zielbranche laut Recherche: Schnellschneider und automatisierte Schneidsysteme.;Mittel, nur Website, 73 Prozent der Kriterien belegt;02625 Bautzen;Deutschland;Schnellschneider und automatisierte Schneidsysteme;k. A.;k. A.;Baumann Gruppe (Marke baumannperfecta);Startliste;"Website/Impressum: PERFECTA Precision Cutting Systems GmbH, Schaefferstrasse 44, 02625 Bautzen; PERFECTA praegt seit 1896 die Entwicklung der Schneidtechnik und gilt als einer der innovativsten Hersteller der Branche.";nicht auf der Website verlinkt;B;Randbereich der Zielbranche laut Recherche: Schnellschneider und automatisierte Schneidsysteme.;B;Sitz 02625 Bautzen, Deutschland, im Land der Zielregion (Heidelberg), aber nicht in der Region selbst.;N;Keine belegte Mitarbeiterzahl (weder Recherche noch Website).;N;Kein Umsatz veröffentlicht und keine Mitarbeiterzahl zum Ableiten.;A;4 Begriffe mit 14 Fundstellen auf 8 Seiten: Präzision (7), präzise (3), precision (3), Maßhaltigkeit (1).;B;2 Begriffe mit 8 Fundstellen: Rotation (5), Register (3).;C;Keiner der Begriffe auf 8 gecrawlten Seiten gefunden. Bauteil- oder Fachvokabular steht selten auf Firmenwebsites, daher kein Abzug bis D.;C;Schwacher Beleg, nur Lebensdauer (1) auf 8 Seiten.;B;2 Begriffe mit 8 Fundstellen: Hochleistung (6), m/min (2).;B;2 Begriffe mit 3 Fundstellen: Maschinengeneration (2), Entwicklung (1).;D;Keiner der Begriffe auf 8 gecrawlten Seiten gefunden.;A;2 Begriffe mit 3 Fundstellen auf 8 Seiten: Prüfprotokoll (2), Dokumentation (1).
ITW Morlock GmbH;https://itwmorlock.com/;C;61;Bedingter Fit;kein Ausschlusskriterium;3 von 12 Kriterien mit A, 2 mit D, 2 ohne Datenbasis. Kernprodukt laut Recherche: Tampondrucksysteme, Automationen und Verbrauchsmaterial. Auf der Website 12 Fundstellen zu Kernbegriffen: printing system (8), printing machine (3), Drucksystem (1).;Mittel, nur Website, 73 Prozent der Kriterien belegt;72280 Dornstetten;Deutschland;Tampondrucksysteme, Automationen und Verbrauchsmaterial;k. A.;k. A.;Illinois Tool Works Inc. (USA);Startliste (Morlock);"Website itwmorlock.com: We design and manufacture pad printing systems as well as precision tooling, inks, pads, and printing plates; Standort Dornstetten (+49 7443).";nicht auf der Website verlinkt;A;Kernprodukt laut Recherche: Tampondrucksysteme, Automationen und Verbrauchsmaterial. Auf der Website 12 Fundstellen zu Kernbegriffen: printing system (8), printing machine (3), Drucksystem (1).;B;Sitz 72280 Dornstetten, Deutschland, im Land der Zielregion (Heidelberg), aber nicht in der Region selbst.;N;Keine belegte Mitarbeiterzahl (weder Recherche noch Website).;N;Kein Umsatz veröffentlicht und keine Mitarbeiterzahl zum Ableiten.;A;4 Begriffe mit 18 Fundstellen auf 8 Seiten: repeatab (6), precision (5), accuracy (5), µm (2).;C;Schwacher Beleg, nur Register (3) auf 8 Seiten.;C;Keiner der Begriffe auf 8 gecrawlten Seiten gefunden. Bauteil- oder Fachvokabular steht selten auf Firmenwebsites, daher kein Abzug bis D.;C;Schwacher Beleg, nur maintenance (2) auf 8 Seiten.;D;Keiner der Begriffe auf 8 gecrawlten Seiten gefunden.;A;2 Begriffe mit 14 Fundstellen auf 8 Seiten: engineering (11), Patent (3).;B;1 Begriffe mit 3 Fundstellen: Supplier (3).;D;Keiner der Begriffe auf 8 gecrawlten Seiten gefunden.
Koenig & Bauer Banknote Solutions SA;https://banknote-solutions.koenig-bauer.com/en/;C;61;Bedingter Fit;kein Ausschlusskriterium;1 von 12 Kriterien mit A, 0 mit D, 9 ohne Datenbasis. Kernprodukt laut Recherche: Banknotendruckmaschinen (Intaglio, Offset, Siebdruck).;Niedrig, nur wenige Seiten, 30 Prozent der Kriterien belegt;1018 Lausanne;Schweiz;Banknotendruckmaschinen (Intaglio, Offset, Siebdruck);k. A.;k. A.;Koenig & Bauer AG;Konzernstruktur Koenig & Bauer;"Website Banknote Solutions: Expertise Design, Production, Security Features fuer Banknotendruck; Sitz Lausanne.";https://www.linkedin.com/company/23394;A;Kernprodukt laut Recherche: Banknotendruckmaschinen (Intaglio, Offset, Siebdruck).;C;Sitz 1018 Lausanne, Schweiz, im deutschsprachigen Raum, Zielregion ist Heidelberg.;N;Keine belegte Mitarbeiterzahl (weder Recherche noch Website).;N;Kein Umsatz veröffentlicht und keine Mitarbeiterzahl zum Ableiten.;N;Kein Treffer, aber nur 1 Seite(n) abrufbar. Nicht belegbar.;N;Kein Treffer, aber nur 1 Seite(n) abrufbar. Nicht belegbar.;N;Kein Treffer, aber nur 1 Seite(n) abrufbar. Nicht belegbar.;B;2 Begriffe mit 2 Fundstellen: Retrofit (1), spare part (1).;N;Kein Treffer, aber nur 1 Seite(n) abrufbar. Nicht belegbar.;N;Kein Treffer, aber nur 1 Seite(n) abrufbar. Nicht belegbar.;N;Kein Treffer, aber nur 1 Seite(n) abrufbar. Nicht belegbar.;N;Kein Treffer, aber nur 1 Seite(n) abrufbar. Nicht belegbar.
MPRINT Morlock GmbH + Co. KG;https://www.mprint.de/de/;C;61;Bedingter Fit;kein Ausschlusskriterium;4 von 12 Kriterien mit A, 1 mit D. Kernprodukt laut Recherche: Industrielle Inkjet-Digitaldruckmaschinen (MONOJET, MLABEL, MJET). Auf der Website 48 Fundstellen zu Kernbegriffen: Drucksystem (12), Digitaldruck (10), Inkjet (10), Druckmaschine (7).;Mittel, nur Website, 100 Prozent der Kriterien belegt;72270 Baiersbronn;Deutschland;Industrielle Inkjet-Digitaldruckmaschinen (MONOJET, MLABEL, MJET);5.501 (Website);1.100 (abgeleitet);Leonhard Kurz Stiftung & Co. KG (KURZ-Gruppe);Websuche Digitaldruckmaschinen Hersteller Deutschland;"Website: MPRINT ist Teil der KURZ-Gruppe; Schwarzwaelder Praezision im Inkjet-Digitaldruck, Produkte MONOJET, MLABEL, MJET.";https://www.linkedin.com/company/mprintinkjet;A;Kernprodukt laut Recherche: Industrielle Inkjet-Digitaldruckmaschinen (MONOJET, MLABEL, MJET). Auf der Website 48 Fundstellen zu Kernbegriffen: Drucksystem (12), Digitaldruck (10), Inkjet (10), Druckmaschine (7).;B;Sitz 72270 Baiersbronn, Deutschland, im Land der Zielregion (Heidelberg), aber nicht in der Region selbst.;C;5.501 Mitarbeiter stehen auf der Website, die Zahl gehört aber zur Gruppe (Leonhard Kurz Stiftung & Co. KG (KURZ-Gruppe)). Zahl der Einzelgesellschaft unbelegt, in der Nachprüfung zu klären.;B;1,1 Mrd. EUR (aus 5.501 Mitarbeitern abgeleitet (0,2 Mio. EUR je Kopf, Maschinenbau)), im ICP-Band, Wert nur abgeleitet rund 2 Mrd. EUR.;C;Schwacher Beleg, nur Präzision (2) auf 7 Seiten.;C;Schwacher Beleg, nur Register (2) auf 7 Seiten.;C;Keiner der Begriffe auf 7 gecrawlten Seiten gefunden. Bauteil- oder Fachvokabular steht selten auf Firmenwebsites, daher kein Abzug bis D.;A;5 Begriffe mit 12 Fundstellen auf 7 Seiten: Wartung (5), Verfügbarkeit (3), Standzeit (2), Ersatzteil (1).;D;Keiner der Begriffe auf 7 gecrawlten Seiten gefunden.;A;4 Begriffe mit 15 Fundstellen auf 7 Seiten: Innovation (7), Entwicklung (6), Konstruktion (1), Konstrukteur (1).;A;3 Begriffe mit 5 Fundstellen auf 7 Seiten: Code of Conduct (2), Verhaltenskodex (2), Lieferant (1).;B;1 Begriffe mit 2 Fundstellen: ISO 9001 (2).
Notion Systems GmbH;https://www.notion-systems.com/startseite.html;C;61;Bedingter Fit;kein Ausschlusskriterium;3 von 12 Kriterien mit A, 2 mit D, 2 ohne Datenbasis. Kernprodukt laut Recherche: Industrielle Inkjet-Drucksysteme fuer funktionale Materialien. Auf der Website 65 Fundstellen zu Kernbegriffen: Inkjet (41), Drucksystem (22), printing system (2).;Mittel, nur Website, 73 Prozent der Kriterien belegt;68723 Schwetzingen;Deutschland;Industrielle Inkjet-Drucksysteme fuer funktionale Materialien;k. A.;k. A.;;Websuche industrielle Inkjet Drucksysteme;"Website: We develop and build semiconductor processing tools and industrial inkjet printing systems for functional materials; Sitz Werkstr. 2, Schwetzingen.";https://de.linkedin.com/company/notionsystems;A;Kernprodukt laut Recherche: Industrielle Inkjet-Drucksysteme fuer funktionale Materialien. Auf der Website 65 Fundstellen zu Kernbegriffen: Inkjet (41), Drucksystem (22), printing system (2).;B;Sitz 68723 Schwetzingen, Deutschland, im Land der Zielregion (Heidelberg), aber nicht in der Region selbst.;N;Keine belegte Mitarbeiterzahl (weder Recherche noch Website).;N;Kein Umsatz veröffentlicht und keine Mitarbeiterzahl zum Ableiten.;D;Keiner der Begriffe auf 8 gecrawlten Seiten gefunden.;C;Schwacher Beleg, nur Register (4) auf 8 Seiten.;C;Keiner der Begriffe auf 8 gecrawlten Seiten gefunden. Bauteil- oder Fachvokabular steht selten auf Firmenwebsites, daher kein Abzug bis D.;A;5 Begriffe mit 17 Fundstellen auf 8 Seiten: Ersatzteil (4), Wartung (4), Lebensdauer (4), Verfügbarkeit (4).;D;Keiner der Begriffe auf 8 gecrawlten Seiten gefunden.;A;4 Begriffe mit 35 Fundstellen auf 8 Seiten: R&D (16), engineering (16), Konstrukteur (2), Innovation (1).;B;1 Begriffe mit 2 Fundstellen: Einkauf (2).;B;1 Begriffe mit 6 Fundstellen: certified (6).
IST METZ GmbH & Co. KG;https://www.ist-uv.com/en/;C;60;Bedingter Fit;kein Ausschlusskriterium;5 von 12 Kriterien mit A, 1 mit D. Randbereich der Zielbranche laut Recherche: UV-, LED-UV- und Excimer-Haertungssysteme fuer Druckmaschinen. Auf der Website 39 Fundstellen zu Kernbegriffen: Inkjet (18), Bogenoffset (10), Etikettendruck (10), printing press (1).;Hoch, recherchiert und Website geprüft, 100 Prozent der Kriterien belegt;72622 Nürtingen;Deutschland;UV-, LED-UV- und Excimer-Haertungssysteme fuer Druckmaschinen;480 (Recherche);96 (abgeleitet);;Websuche Peripherie Druckmaschinen (UV-Trocknung);"Website: IST METZ GmbH & Co. KG mit Sitz in Nuertingen ist ein international agierendes, mittelstaendisches Maschinenbauunternehmen; entwickelt und fertigt UV-, LED-UV-, IR- und Excimer-Systeme fuer die Strahlungshaertung im Druck.";https://de.linkedin.com/company/ist-metz-gmbh;B;Randbereich der Zielbranche laut Recherche: UV-, LED-UV- und Excimer-Haertungssysteme fuer Druckmaschinen. Auf der Website 39 Fundstellen zu Kernbegriffen: Inkjet (18), Bogenoffset (10), Etikettendruck (10), printing press (1).;B;Sitz 72622 Nürtingen, Deutschland, im Land der Zielregion (Heidelberg), aber nicht in der Region selbst.;C;480 Mitarbeiter (Recherche, Gruppe: https://www.ist-uv.com/de/unternehmen (2026: rund 480 Mitarbeitern weltweit)), unter dem ICP-Band 1.001 bis 10.000.;D;96 Mio. EUR (aus 480 Mitarbeitern abgeleitet (0,2 Mio. EUR je Kopf, Maschinenbau)), deutlich unter dem ICP-Band rund 2 Mrd. EUR.;B;2 Begriffe mit 2 Fundstellen: präzise (1), precision (1).;A;2 Begriffe mit 14 Fundstellen auf 6 Seiten: Bogen (10), Register (4).;C;Keiner der Begriffe auf 6 gecrawlten Seiten gefunden. Bauteil- oder Fachvokabular steht selten auf Firmenwebsites, daher kein Abzug bis D.;A;4 Begriffe mit 22 Fundstellen auf 6 Seiten: Ersatzteil (15), Retrofit (3), spare part (3), maintenance (1).;C;Schwacher Beleg, nur Hochleistung (3) auf 6 Seiten.;A;4 Begriffe mit 11 Fundstellen auf 6 Seiten: Entwicklung (5), Innovation (3), Konstruktion (2), Forschung und Entwicklung (1).;A;4 Begriffe mit 14 Fundstellen auf 6 Seiten: Einkauf (11), Einkaufsbedingungen (1), Supplier (1), Supply Chain (1).;A;2 Begriffe mit 12 Fundstellen auf 6 Seiten: Qualitätsmanagement (10), quality management (2).
Rotodecor GmbH;https://rotodecor.com/;C;60;Bedingter Fit;kein Ausschlusskriterium;5 von 12 Kriterien mit A, 2 mit D. Kernprodukt laut Recherche: Tiefdruckmaschinen fuer Dekorpapier, Lackieranlagen, Rotationsstanzen. Auf der Website 61 Fundstellen zu Kernbegriffen: Druckmaschine (28), Tiefdruck (27), Digitaldruck (3), Verpackungsdruck (2).;Hoch, recherchiert und Website geprüft, 100 Prozent der Kriterien belegt;32791 Lage;Deutschland;Tiefdruckmaschinen fuer Dekorpapier, Lackieranlagen, Rotationsstanzen;90 (Recherche);18 (abgeleitet);Hummingbird Converting Solutions GmbH;industrystock Tiefdruckmaschinen;"Website: Produkte Tiefdruckmaschinen, Lackieranlagen, Rotationsstanzen; Tochterunternehmen der Hummingbird Converting Solutions GmbH.";https://www.linkedin.com/company/rotodecor-gmbh;A;Kernprodukt laut Recherche: Tiefdruckmaschinen fuer Dekorpapier, Lackieranlagen, Rotationsstanzen. Auf der Website 61 Fundstellen zu Kernbegriffen: Druckmaschine (28), Tiefdruck (27), Digitaldruck (3), Verpackungsdruck (2).;B;Sitz 32791 Lage, Deutschland, im Land der Zielregion (Heidelberg), aber nicht in der Region selbst.;D;90 Mitarbeiter (Recherche, Gesellschaft: https://rotodecor.com/unternehmen/ (2026: Mehr als 90 Mitarbeiter an 3 Standorten)), deutlich unter dem ICP-Band 1.001 bis 10.000.;D;18 Mio. EUR (aus 90 Mitarbeitern abgeleitet (0,2 Mio. EUR je Kopf, Maschinenbau)), deutlich unter dem ICP-Band rund 2 Mrd. EUR.;B;2 Begriffe mit 2 Fundstellen: Präzision (1), präzise (1).;A;3 Begriffe mit 18 Fundstellen auf 7 Seiten: Rotation (15), Register (2), Bahnlauf (1).;C;Schwacher Beleg, nur Antriebstechnik (2) auf 7 Seiten.;A;6 Begriffe mit 22 Fundstellen auf 7 Seiten: Ersatzteil (9), Wartung (5), Retrofit (2), Lebensdauer (2).;B;2 Begriffe mit 7 Fundstellen: m/min (4), Druckgeschwindigkeit (3).;B;2 Begriffe mit 4 Fundstellen: Konstruktion (3), Innovation (1).;A;2 Begriffe mit 3 Fundstellen auf 7 Seiten: Zulieferer (2), Einkauf (1).;A;2 Begriffe mit 3 Fundstellen auf 7 Seiten: Qualitätssicherung (2), Qualitätsmanagement (1).
Baldwin Technology GmbH;https://www.bwconverting.com/brand/baldwin/;C;59;Bedingter Fit;kein Ausschlusskriterium;3 von 12 Kriterien mit A, 2 mit D, 2 ohne Datenbasis. Randbereich der Zielbranche laut Recherche: Reinigungs-, Spruehbefeuchtungs- und UV-Systeme fuer Druckmaschinen.;Mittel, nur Website, 73 Prozent der Kriterien belegt;86316 Friedberg;Deutschland;Reinigungs-, Spruehbefeuchtungs- und UV-Systeme fuer Druckmaschinen;k. A.;k. A.;Barry-Wehmiller (BW Converting, USA);"Startliste (Baldwin); industrystock Rollenoffset";"Website bwconverting.com: Baldwin became part of the Barry-Wehmiller family in 2012; Akquisitionen Web Printing Controls und Air Motion Systems (LED-UV).";https://www.linkedin.com/company/bw-converting;B;Randbereich der Zielbranche laut Recherche: Reinigungs-, Spruehbefeuchtungs- und UV-Systeme fuer Druckmaschinen.;B;Sitz 86316 Friedberg, Deutschland, im Land der Zielregion (Heidelberg), aber nicht in der Region selbst.;N;Keine belegte Mitarbeiterzahl (weder Recherche noch Website).;N;Kein Umsatz veröffentlicht und keine Mitarbeiterzahl zum Ableiten.;A;3 Begriffe mit 5 Fundstellen auf 6 Seiten: precision (2), tolerance (2), accuracy (1).;A;2 Begriffe mit 32 Fundstellen auf 6 Seiten: Register (30), printing unit (2).;C;Keiner der Begriffe auf 6 gecrawlten Seiten gefunden. Bauteil- oder Fachvokabular steht selten auf Firmenwebsites, daher kein Abzug bis D.;C;Schwacher Beleg, nur uptime (1) auf 6 Seiten.;C;Schwacher Beleg, nur high-speed (2) auf 6 Seiten.;A;1 Begriffe mit 26 Fundstellen auf 6 Seiten: Innovation (26).;D;Keiner der Begriffe auf 6 gecrawlten Seiten gefunden.;D;Keiner der Begriffe auf 6 gecrawlten Seiten gefunden.
Koenig & Bauer Durst GmbH;https://www.koenig-bauer-durst.com/;C;59;Bedingter Fit;kein Ausschlusskriterium;2 von 12 Kriterien mit A, 2 mit D, 2 ohne Datenbasis. Kernprodukt laut Recherche: Digitaldruckmaschinen fuer Faltschachtel- und Wellpappendruck. Auf der Website 14 Fundstellen zu Kernbegriffen: Inkjet (5), printing press (3), printing machine (3), printing system (3).;Mittel, nur Website, 73 Prozent der Kriterien belegt;97080 Würzburg;Deutschland;Digitaldruckmaschinen fuer Faltschachtel- und Wellpappendruck;k. A.;k. A.;Joint Venture von Koenig & Bauer AG und Durst Group AG;Startliste;"Website: entwickelt Koenig & Bauer Durst einzigartige Digitaldruckloesungen; Produkte VariJET 106, Delta SPC 130, CorruJET 170.";https://www.linkedin.com/company/koenig-bauer-durst;A;Kernprodukt laut Recherche: Digitaldruckmaschinen fuer Faltschachtel- und Wellpappendruck. Auf der Website 14 Fundstellen zu Kernbegriffen: Inkjet (5), printing press (3), printing machine (3), printing system (3).;B;Sitz 97080 Würzburg, Deutschland, im Land der Zielregion (Heidelberg), aber nicht in der Region selbst.;N;Keine belegte Mitarbeiterzahl (weder Recherche noch Website).;N;Kein Umsatz veröffentlicht und keine Mitarbeiterzahl zum Ableiten.;D;Keiner der Begriffe auf 7 gecrawlten Seiten gefunden.;C;Schwacher Beleg, nur Register (2) auf 7 Seiten.;C;Keiner der Begriffe auf 7 gecrawlten Seiten gefunden. Bauteil- oder Fachvokabular steht selten auf Firmenwebsites, daher kein Abzug bis D.;D;Keiner der Begriffe auf 7 gecrawlten Seiten gefunden.;B;2 Begriffe mit 3 Fundstellen: high-speed (2), sheets per hour (1).;A;2 Begriffe mit 16 Fundstellen auf 7 Seiten: Innovation (14), engineering (2).;B;1 Begriffe mit 2 Fundstellen: Supply Chain (2).;B;1 Begriffe mit 2 Fundstellen: certified (2).
Berhalter AG;https://www.berhalter.com/;C;58;Bedingter Fit;kein Ausschlusskriterium;3 von 12 Kriterien mit A, 1 mit D, 2 ohne Datenbasis. Randbereich der Zielbranche laut Recherche: Stanzmaschinen fuer Etiketten, Deckel und flexible Verpackung.;Niedrig, nur wenige Seiten, 73 Prozent der Kriterien belegt;9443 Widnau;Schweiz;Stanzmaschinen fuer Etiketten, Deckel und flexible Verpackung;k. A.;k. A.;Familienbesitz;Startliste;"Website: BERHALTER Swiss Die-Cutting; Stanzloesungen fuer Nahrungsmittel-, Getraenke- und Pharmaverpackung.";https://www.linkedin.com/company/berhalter-switzerland;B;Randbereich der Zielbranche laut Recherche: Stanzmaschinen fuer Etiketten, Deckel und flexible Verpackung.;C;Sitz 9443 Widnau, Schweiz, im deutschsprachigen Raum, Zielregion ist Heidelberg.;N;Keine belegte Mitarbeiterzahl (weder Recherche noch Website).;N;Kein Umsatz veröffentlicht und keine Mitarbeiterzahl zum Ableiten.;B;2 Begriffe mit 4 Fundstellen: Präzision (3), präzise (1).;C;Schwacher Beleg, nur Register (1) auf 3 Seiten.;C;Keiner der Begriffe auf 3 gecrawlten Seiten gefunden. Bauteil- oder Fachvokabular steht selten auf Firmenwebsites, daher kein Abzug bis D.;B;2 Begriffe mit 5 Fundstellen: Ersatzteil (3), Verfügbarkeit (2).;D;Keiner der Begriffe auf 3 gecrawlten Seiten gefunden.;A;2 Begriffe mit 10 Fundstellen auf 3 Seiten: Innovation (7), Entwicklung (3).;A;3 Begriffe mit 7 Fundstellen auf 3 Seiten: Einkauf (3), Einkaufsbedingungen (3), Lieferant (1).;A;2 Begriffe mit 5 Fundstellen auf 3 Seiten: zertifiziert (4), Zertifizierung (1).
grapho metronic Mess- und Regeltechnik GmbH;https://grapho-metronic.com/;C;58;Bedingter Fit;kein Ausschlusskriterium;5 von 12 Kriterien mit A, 1 mit D. Randbereich der Zielbranche laut Recherche: Mess- und Regelsysteme fuer Druckmaschinen (Register, Farbdichte). Auf der Website 4 Fundstellen zu Kernbegriffen: Druckmaschine (4).;Hoch, recherchiert und Website geprüft, 100 Prozent der Kriterien belegt;81669 München;Deutschland;Mess- und Regelsysteme fuer Druckmaschinen (Register, Farbdichte);30 (Recherche);4.000 (Website);L. Possehl & Co. mbH;"VDMA Mitgliederverzeichnis; industrystock Rollenoffset";Website: Alle Systeme werden komplett in Muenchen von uns entwickelt und gefertigt (hochpraezise Messsysteme fuer Druckmaschinen).;https://de.linkedin.com/company/grapho-metronic;B;Randbereich der Zielbranche laut Recherche: Mess- und Regelsysteme fuer Druckmaschinen (Register, Farbdichte). Auf der Website 4 Fundstellen zu Kernbegriffen: Druckmaschine (4).;B;Sitz 81669 München, Deutschland, im Land der Zielregion (Heidelberg), aber nicht in der Region selbst.;D;30 Mitarbeiter (Recherche, Gesellschaft: https://grapho-metronic.com/karriere/ (2026: Wir sind ein Unternehmen mit rund 30 Mitarbeitern)), deutlich unter dem ICP-Band 1.001 bis 10.000.;C;4 Mrd. EUR stehen auf der Website, der Wert gehört aber zur Gruppe (L. Possehl & Co. mbH). Umsatz der Einzelgesellschaft unbelegt.;A;2 Begriffe mit 10 Fundstellen auf 6 Seiten: Präzision (6), präzise (4).;B;2 Begriffe mit 4 Fundstellen: Register (3), Bogen (1).;C;Keiner der Begriffe auf 6 gecrawlten Seiten gefunden. Bauteil- oder Fachvokabular steht selten auf Firmenwebsites, daher kein Abzug bis D.;A;3 Begriffe mit 5 Fundstellen auf 6 Seiten: Retrofit (3), Ersatzteil (1), Wartung (1).;C;Schwacher Beleg, nur high-speed (3) auf 6 Seiten.;A;3 Begriffe mit 12 Fundstellen auf 6 Seiten: Entwicklung (6), Patent (5), Konstruktion (1).;A;3 Begriffe mit 4 Fundstellen auf 6 Seiten: Einkauf (2), Lieferant (1), Einkaufsbedingungen (1).;A;3 Begriffe mit 5 Fundstellen auf 6 Seiten: Messtechnik (3), Qualitätssicherung (1), Qualitätskontrolle (1).
