Firma;Website;Gesamtbewertung;Punkte;Einstufung;Ausschlussgrund;Kurzbegründung;Datenqualität;Ort;Land;Produktkategorien;Mitarbeiter;Umsatz (Mio. EUR);Konzernmutter;Quelle;Beleg;LinkedIn Firmenprofil URL;F1 Branche;F1 Begründung;F2 Region;F2 Begründung;F3 Mitarbeiterzahl;F3 Begründung;F4 Jahresumsatz;F4 Begründung;B1 Präzisionsanspruch bei Kernbauteilen;B1 Begründung;B2 Eigene Fertigung von Kernbauteilen;B2 Begründung;B3 Elektrische Antriebe und Kugelgewindetriebe in den Maschinen;B3 Begründung;B4 Produktivität, Rüst- und Nebenzeiten;B4 Begründung;B5 Energieeffizienz;B5 Begründung;B6 Qualität und Ausschussreduktion;B6 Begründung;B7 Strukturierter Einkauf und Lieferantenmanagement;B7 Begründung;B8 Entwicklung und Konstruktion im Haus;B8 Begründung
NETSTAL Deutschland GmbH;https://www.netstal.com/;C;58;Bedingter Fit;kein Ausschlusskriterium;6 von 12 Kriterien mit A, 4 mit D. Kernprodukt laut Recherche: Spritzgießmaschinen, Vertrieb und Service Deutschland. Auf der Website 8 Fundstellen zu Kernbegriffen: Spritzgiessmaschine (7), Schliesseinheit (1).;Hoch, recherchiert und Website geprüft, 100 Prozent der Kriterien belegt;70599 Stuttgart;Deutschland;Spritzgießmaschinen, Vertrieb und Service Deutschland;10 (Recherche);2 (abgeleitet);Netstal Maschinen AG (Krones AG);wer-zu-wem Firmenverzeichnis;Der Firmeneintrag weist die NETSTAL Deutschland GmbH, Dreifelderstr. 40, 70599 Stuttgart, als deutsche Gesellschaft des Spritzgießmaschinenherstellers Netstal aus (https://www.wer-zu-wem.de/firma/netstal-deutschland.html).;https://it.linkedin.com/company/netstal;A;Kernprodukt laut Recherche: Spritzgießmaschinen, Vertrieb und Service Deutschland. Auf der Website 8 Fundstellen zu Kernbegriffen: Spritzgiessmaschine (7), Schliesseinheit (1).;B;Sitz 70599 Stuttgart, Deutschland, Nachbarland im deutschsprachigen Raum, Zielland ist Österreich.;D;10 Mitarbeiter (Recherche, Gesellschaft: https://www.wer-zu-wem.de/firma/netstal-deutschland.html (Abruf 2026, Angabe: 10 Mitarbeiter in Deutschland)), deutlich unter dem ICP-Band 1.001 bis 10.000.;D;2 Mio. EUR (aus 10 Mitarbeitern abgeleitet (0,2 Mio. EUR je Kopf, Maschinenbau)), deutlich unter dem ICP-Band rund 1,6 Mrd. EUR.;A;4 Begriffe mit 10 Fundstellen auf 8 Seiten: Präzision (5), präzise (2), Wiederholgenauigkeit (2), Toleranz (1).;D;Keiner der Begriffe auf 8 gecrawlten Seiten gefunden.;A;3 Begriffe mit 5 Fundstellen auf 8 Seiten: vollelektrisch (2), hybrid (2), Antriebstechnik (1).;A;4 Begriffe mit 6 Fundstellen auf 8 Seiten: Zykluszeit (2), Gesamtanlageneffektivität (2), Produktivität (1), Trockenlaufzeit (1).;A;5 Begriffe mit 15 Fundstellen auf 8 Seiten: Nachhaltigkeit (8), Energieverbrauch (3), Energieeffizien (2), energieeffizient (1).;A;2 Begriffe mit 2 Fundstellen auf 8 Seiten: Ausschuss (1), ISO 9001 (1).;D;Keiner der Begriffe auf 8 gecrawlten Seiten gefunden.;B;2 Begriffe mit 5 Fundstellen: Innovation (4), Konstruktion (1).
Klöckner DESMA Elastomertechnik GmbH;https://www.desma.biz/;C;57;Bedingter Fit;kein Ausschlusskriterium;4 von 12 Kriterien mit A, 1 mit D. Kernprodukt laut Recherche: Spritzgießmaschinen für Gummi und Silikon, Kaltkanal, Automation. Auf der Website 34 Fundstellen zu Kernbegriffen: Elastomer (18), Spritzgießmaschine (8), Silikon (5), Spritzgießtechnik (1).;Hoch, recherchiert und Website geprüft, 100 Prozent der Kriterien belegt;78567 Fridingen an der Donau;Deutschland;Spritzgießmaschinen für Gummi und Silikon, Kaltkanal, Automation;517 (Recherche);103 (abgeleitet);Salzgitter AG (Klöckner-Werke);VDMA, Startliste;Die Website bezeichnet das Unternehmen als weltweit führenden Hersteller von Spritzgießmaschinen für die Elastomerindustrie, vertikale Maschinen der S3 Baureihe für Gummi- und Silikonartikel (https://www.desma.biz/);https://www.linkedin.com/company/kloecknerdesma;A;Kernprodukt laut Recherche: Spritzgießmaschinen für Gummi und Silikon, Kaltkanal, Automation. Auf der Website 34 Fundstellen zu Kernbegriffen: Elastomer (18), Spritzgießmaschine (8), Silikon (5), Spritzgießtechnik (1).;B;Sitz 78567 Fridingen an der Donau, Deutschland, Nachbarland im deutschsprachigen Raum, Zielland ist Österreich.;C;517 Mitarbeiter (Recherche, Gruppe: https://www.kunststoffweb.de/branchen-news/kloeckner_desma_spritzgiessmaschinenbauer_reduziert_beschaeftigtenzahl_t245166 (2020, weltweit 517, davon 233 in Fridingen)), unter dem ICP-Band 1.001 bis 10.000.;D;103 Mio. EUR (aus 517 Mitarbeitern abgeleitet (0,2 Mio. EUR je Kopf, Maschinenbau)), deutlich unter dem ICP-Band rund 1,6 Mrd. EUR.;C;Schwacher Beleg, nur präzise (3) auf 8 Seiten.;C;Schwacher Beleg, nur CNC (1) auf 8 Seiten.;C;Schwacher Beleg, nur toggle (2) auf 8 Seiten.;B;2 Begriffe mit 3 Fundstellen: Produktivität (2), Maschinenverfügbarkeit (1).;B;2 Begriffe mit 2 Fundstellen: Energieeffizien (1), Nachhaltigkeit (1).;A;2 Begriffe mit 4 Fundstellen auf 8 Seiten: prozesssicher (2), Prozesssicherheit (2).;A;2 Begriffe mit 9 Fundstellen auf 8 Seiten: Lieferant (8), Einkauf (1).;A;4 Begriffe mit 18 Fundstellen auf 8 Seiten: Technikum (8), Entwicklung (7), Innovation (2), Neuentwicklung (1).
HUSKY Spritzgiess-Systeme GmbH;https://www.husky.co/;C;56;Bedingter Fit;kein Ausschlusskriterium;3 von 12 Kriterien mit A, 3 mit D. Kernprodukt laut Recherche: Spritzgießsysteme für Verpackungen, PET-Preforms, Verschlüsse. Auf der Website 49 Fundstellen zu Kernbegriffen: injection moulding (40), LSR (8), Spritzguss (1).;Mittel, nur Website, 100 Prozent der Kriterien belegt;Darmstadt;Deutschland;Spritzgießsysteme für Verpackungen, PET-Preforms, Verschlüsse;4.301 (Website);860 (abgeleitet);Husky Technologies Ltd. (Kanada), Eigentümer Platinum Equity;Fakuma 2026 Ausstellerliste, Startliste;"Husky bezeichnet sich als Anbieter kompletter Spritzgusssysteme für Verpackungen, Getränkeverpackungen und Verschlüsse (https://www.husky.co/de/); die deutsche Gesellschaft ist als HUSKY Spritzgiess-Systeme GmbH, Darmstadt, HRB 90767, aktiv eingetragen (https://www.northdata.de/Husky+Spritzgiess-Systeme+GmbH).";https://www.linkedin.com/company/husky-injection-molding-systems;A;Kernprodukt laut Recherche: Spritzgießsysteme für Verpackungen, PET-Preforms, Verschlüsse. Auf der Website 49 Fundstellen zu Kernbegriffen: injection moulding (40), LSR (8), Spritzguss (1).;B;Sitz Darmstadt, Deutschland, Nachbarland im deutschsprachigen Raum, Zielland ist Österreich.;C;4.301 Mitarbeiter stehen auf der Website, die Zahl gehört aber zur Gruppe (Husky Technologies Ltd. (Kanada), Eigentümer Platinum Equity). Zahl der Einzelgesellschaft unbelegt, in der Nachprüfung zu klären.;B;860 Mio. EUR (aus 4.301 Mitarbeitern abgeleitet (0,2 Mio. EUR je Kopf, Maschinenbau)), im ICP-Band, Wert nur abgeleitet rund 1,6 Mrd. EUR.;B;2 Begriffe mit 2 Fundstellen: präzise (1), precision (1).;D;Keiner der Begriffe auf 4 gecrawlten Seiten gefunden.;C;Keiner der Begriffe auf 4 gecrawlten Seiten gefunden. Bauteil- oder Fachvokabular steht selten auf Firmenwebsites, daher kein Abzug bis D.;D;Keiner der Begriffe auf 4 gecrawlten Seiten gefunden.;A;2 Begriffe mit 10 Fundstellen auf 4 Seiten: Nachhaltigkeit (8), CO2 (2).;D;Keiner der Begriffe auf 4 gecrawlten Seiten gefunden.;A;3 Begriffe mit 40 Fundstellen auf 4 Seiten: Supplier (28), Lieferant (6), Code of Conduct (6).;B;2 Begriffe mit 5 Fundstellen: Innovation (4), Konstruktion (1).
BBS Automation Hallbergmoos GmbH;"https://www.bbsautomation.com/de?utm_source=www.hekuma.com&amp;utm_medium=referral&amp;utm_campaign=relaunch-2025&amp;utm_content=redirect";C;55;Bedingter Fit;kein Ausschlusskriterium;6 von 12 Kriterien mit A, 3 mit D. Randbereich der Zielbranche laut Recherche: Hochleistungsautomation für Spritzgießzellen, Medizintechnik. Auf der Website 35 Fundstellen zu Kernbegriffen: Spritzguss (31), Spritzgießen (4).;Hoch, recherchiert und Website geprüft, 100 Prozent der Kriterien belegt;85399 Hallbergmoos;Deutschland;Hochleistungsautomation für Spritzgießzellen, Medizintechnik;200 (Recherche);40 (abgeleitet);Dürr AG (BBS Automation);VDMA Mitgliederliste, technik-einkauf, Startliste;Hekuma steht für Hochleistungsautomation im Umfeld von Spritzgießprozessen und liefert schlüsselfertige Automationszellen für Medizintechnik und Konsumgüter (https://www.hekuma.com/de/).;https://www.linkedin.com/company/bbs-automation;B;Randbereich der Zielbranche laut Recherche: Hochleistungsautomation für Spritzgießzellen, Medizintechnik. Auf der Website 35 Fundstellen zu Kernbegriffen: Spritzguss (31), Spritzgießen (4).;B;Sitz 85399 Hallbergmoos, Deutschland, Nachbarland im deutschsprachigen Raum, Zielland ist Österreich.;D;200 Mitarbeiter (Recherche, Gesellschaft: https://www.wer-zu-wem.de/firma/hekuma.html (Abruf 2026, Angabe: 200 Mitarbeiter in Deutschland)), deutlich unter dem ICP-Band 1.001 bis 10.000.;D;40 Mio. EUR (aus 200 Mitarbeitern abgeleitet (0,2 Mio. EUR je Kopf, Maschinenbau)), deutlich unter dem ICP-Band rund 1,6 Mrd. EUR.;C;Schwacher Beleg, nur präzise (2) auf 11 Seiten.;A;2 Begriffe mit 39 Fundstellen auf 11 Seiten: Produktionsstandort (20), Montage (19).;A;2 Begriffe mit 250 Fundstellen auf 11 Seiten: toggle (230), hybrid (20).;D;Keiner der Begriffe auf 11 gecrawlten Seiten gefunden.;A;1 Begriffe mit 10 Fundstellen auf 11 Seiten: Nachhaltigkeit (10).;A;3 Begriffe mit 3 Fundstellen auf 11 Seiten: prozesssicher (1), Prozesssicherheit (1), Qualitätssicherung (1).;A;2 Begriffe mit 21 Fundstellen auf 11 Seiten: Lieferant (11), Code of Conduct (10).;A;3 Begriffe mit 23 Fundstellen auf 11 Seiten: Entwicklung (11), engineering (11), Innovation (1).
WOOJIN PLAIMM GmbH;https://www.woojin.eu/;C;55;Bedingter Fit;kein Ausschlusskriterium;3 von 12 Kriterien mit A, 4 mit D, 2 ohne Datenbasis. Kernprodukt laut Recherche: Spritzgiessmaschinen des koreanischen Herstellers Woojin Plaimm. Auf der Website 25 Fundstellen zu Kernbegriffen: injection moulding (14), injection moulding machine (11).;Mittel, nur Website, 74 Prozent der Kriterien belegt;2544 Leobersdorf;Österreich;Spritzgiessmaschinen des koreanischen Herstellers Woojin Plaimm;k. A.;k. A.;Woojin Plaimm Co., Ltd. (Boeun, Suedkorea);"plasticker, Startliste (dort als WOOJIN PLAIMM Deutschland GmbH, Berlin gefuehrt; korrigiert)";"Impressum: WOOJIN PLAIMM GmbH, Aumuehlweg 3, A-2544 Leobersdorf, FN 411295x (LG Wr. Neustadt); die Website bietet die Spritzgiessmaschinen-Palette von Woojin Plaimm an (https://www.woojin.eu/legal-notice/)";nicht auf der Website verlinkt;A;Kernprodukt laut Recherche: Spritzgiessmaschinen des koreanischen Herstellers Woojin Plaimm. Auf der Website 25 Fundstellen zu Kernbegriffen: injection moulding (14), injection moulding machine (11).;A;Sitz 2544 Leobersdorf, Österreich, im Zielland Österreich.;N;Keine belegte Mitarbeiterzahl (weder Recherche noch Website).;N;Kein Umsatz veröffentlicht und keine Mitarbeiterzahl zum Ableiten.;B;1 Begriffe mit 6 Fundstellen: precision (6).;D;Keiner der Begriffe auf 5 gecrawlten Seiten gefunden.;C;Schwacher Beleg, nur electric injection (1) auf 5 Seiten.;D;Keiner der Begriffe auf 5 gecrawlten Seiten gefunden.;D;Keiner der Begriffe auf 5 gecrawlten Seiten gefunden.;B;1 Begriffe mit 2 Fundstellen: quality assurance (2).;D;Keiner der Begriffe auf 5 gecrawlten Seiten gefunden.;A;4 Begriffe mit 21 Fundstellen auf 5 Seiten: R&D (13), Innovation (5), engineering (2), Patent (1).
ELMET Elastomere Produktions- und Dienstleistungs-GmbH;https://www.elmet.com/de/start/;C;54;Bedingter Fit;kein Ausschlusskriterium;5 von 12 Kriterien mit A, 3 mit D. Randbereich der Zielbranche laut Recherche: LSR-Dosieranlagen, Spritzgießwerkzeuge, Turnkey-Produktionszellen für Flüssigsilikon. Auf der Website 51 Fundstellen zu Kernbegriffen: Silikon (24), LSR (17), Spritzguss (4), Elastomer (3).;Hoch, recherchiert und Website geprüft, 100 Prozent der Kriterien belegt;4064 Oftering;Österreich;LSR-Dosieranlagen, Spritzgießwerkzeuge, Turnkey-Produktionszellen für Flüssigsilikon;150 (Recherche);30 (abgeleitet);ELMET Verwaltungs-GmbH (Familienbesitz);Startliste;Die Website nennt als Produktlinien LSR-Dosieranlagen (prozesssichere, energieeffiziente Dosiertechnik), hochpräzise Spritzgießwerkzeuge mit Kaltkanalsystemen und schlüsselfertige Turnkey-Produktionszellen, https://www.elmet.com/;https://www.linkedin.com/company/elmet-elastomere;B;Randbereich der Zielbranche laut Recherche: LSR-Dosieranlagen, Spritzgießwerkzeuge, Turnkey-Produktionszellen für Flüssigsilikon. Auf der Website 51 Fundstellen zu Kernbegriffen: Silikon (24), LSR (17), Spritzguss (4), Elastomer (3).;A;Sitz 4064 Oftering, Österreich, im Zielland Österreich.;D;150 Mitarbeiter (Recherche, Gesellschaft: https://firmen.wko.at/elmet-elastomere-produktions--und-dienstleistungs-gmbh/oberösterreich/?firmaid=f9902a0f-d3bf-4dab-ab72-0dfbe8392c49 (Abruf 2026)), deutlich unter dem ICP-Band 1.001 bis 10.000.;D;30 Mio. EUR (aus 150 Mitarbeitern abgeleitet (0,2 Mio. EUR je Kopf, Maschinenbau)), deutlich unter dem ICP-Band rund 1,6 Mrd. EUR.;A;3 Begriffe mit 26 Fundstellen auf 8 Seiten: präzise (14), Präzision (11), Toleranz (1).;C;Schwacher Beleg, nur Fertigungstiefe (1) auf 8 Seiten.;B;2 Begriffe mit 2 Fundstellen: vollelektrisch (1), Servomotor (1).;D;Keiner der Begriffe auf 8 gecrawlten Seiten gefunden.;A;4 Begriffe mit 22 Fundstellen auf 8 Seiten: Energieeffizien (11), Nachhaltigkeit (9), energieeffizient (1), Energieverbrauch (1).;A;6 Begriffe mit 20 Fundstellen auf 8 Seiten: Qualitätsmanagement (9), prozesssicher (5), Prozesssicherheit (3), Teilequalität (1).;B;1 Begriffe mit 1 Fundstellen: Lieferant (1).;A;3 Begriffe mit 23 Fundstellen auf 8 Seiten: Entwicklung (12), Innovation (6), Patent (5).
Mayerhofer RIMM Maschinenbau GmbH;https://www.rimm.at/;C;54;Bedingter Fit;kein Ausschlusskriterium;4 von 12 Kriterien mit A, 4 mit D, 2 ohne Datenbasis. Kernprodukt laut Recherche: Elastomer-Spritzgießmaschinen, vertikal und horizontal. Auf der Website 41 Fundstellen zu Kernbegriffen: Elastomer (12), Spritzgussmaschine (11), Schließeinheit (6), Spritzeinheit (6).;Mittel, nur Website, 74 Prozent der Kriterien belegt;4550 Kremsmünster;Österreich;Elastomer-Spritzgießmaschinen, vertikal und horizontal;k. A.;k. A.;Lechenauer GmbH (Österreich);Websuche Elastomer-Spritzgießmaschinen Hersteller;Die Firma beschreibt sich als österreichisches Mittelunternehmen, spezialisiert auf Entwicklung, Herstellung und Vertrieb von Elastomer-Spritzgießmaschinen (https://www.rimm.at/en/startseite/unternehmen/).;nicht auf der Website verlinkt;A;Kernprodukt laut Recherche: Elastomer-Spritzgießmaschinen, vertikal und horizontal. Auf der Website 41 Fundstellen zu Kernbegriffen: Elastomer (12), Spritzgussmaschine (11), Schließeinheit (6), Spritzeinheit (6).;A;Sitz 4550 Kremsmünster, Österreich, im Zielland Österreich.;N;Keine belegte Mitarbeiterzahl (weder Recherche noch Website).;N;Kein Umsatz veröffentlicht und keine Mitarbeiterzahl zum Ableiten.;D;Keiner der Begriffe auf 6 gecrawlten Seiten gefunden.;D;Keiner der Begriffe auf 6 gecrawlten Seiten gefunden.;C;Schwacher Beleg, nur Antriebstechnik (2) auf 6 Seiten.;D;Keiner der Begriffe auf 6 gecrawlten Seiten gefunden.;A;3 Begriffe mit 6 Fundstellen auf 6 Seiten: Energieeffizien (2), Energieverbrauch (2), Stromverbrauch (2).;A;2 Begriffe mit 4 Fundstellen auf 6 Seiten: prozesssicher (2), Prozesssicherheit (2).;D;Keiner der Begriffe auf 6 gecrawlten Seiten gefunden.;B;2 Begriffe mit 4 Fundstellen: Entwicklung (2), Innovation (2).
EWIKON Heißkanalsysteme GmbH;https://www.ewikon.com/;C;52;Bedingter Fit;kein Ausschlusskriterium;5 von 12 Kriterien mit A, 3 mit D. Randbereich der Zielbranche laut Recherche: Heißkanalsysteme, Nadelverschlusstechnik, Heißkanalregeltechnik, Kaltkanaltechnik. Auf der Website 8 Fundstellen zu Kernbegriffen: LSR (4), Spritzgießmaschine (2), Spritzguss (2).;Hoch, recherchiert und Website geprüft, 100 Prozent der Kriterien belegt;35066 Frankenberg (Eder);Deutschland;Heißkanalsysteme, Nadelverschlusstechnik, Heißkanalregeltechnik, Kaltkanaltechnik;300 (Recherche);60 (abgeleitet);;Ergänzung Rechercheur;"Unternehmensseite: Gefertigt wird ausschließlich in Deutschland. In unserer Firmenzentrale am Standort Frankenberg sind mehr als 300 Mitarbeiterinnen und Mitarbeiter tätig; EWIKON zählt zu den international führenden Anbietern von Heißkanaltechnik (https://www.ewikon.com/ewikon/unternehmen)";https://de.linkedin.com/company/ewikon;B;Randbereich der Zielbranche laut Recherche: Heißkanalsysteme, Nadelverschlusstechnik, Heißkanalregeltechnik, Kaltkanaltechnik. Auf der Website 8 Fundstellen zu Kernbegriffen: LSR (4), Spritzgießmaschine (2), Spritzguss (2).;B;Sitz 35066 Frankenberg (Eder), Deutschland, Nachbarland im deutschsprachigen Raum, Zielland ist Österreich.;D;"300 Mitarbeiter (Recherche, Standort: https://www.ewikon.com/ewikon/unternehmen (2026, mehr als 300 Mitarbeiter am Standort Frankenberg; Chronik nennt für 2020 über 320 in Frankenberg, 345 weltweit)), deutlich unter dem ICP-Band 1.001 bis 10.000.";D;60 Mio. EUR (aus 300 Mitarbeitern abgeleitet (0,2 Mio. EUR je Kopf, Maschinenbau)), deutlich unter dem ICP-Band rund 1,6 Mrd. EUR.;C;Schwacher Beleg, nur präzise (4) auf 8 Seiten.;A;6 Begriffe mit 7 Fundstellen auf 8 Seiten: Montage (2), CNC (1), Bearbeitungszentr (1), Schleifen (1).;B;1 Begriffe mit 8 Fundstellen: toggle (8).;D;Keiner der Begriffe auf 8 gecrawlten Seiten gefunden.;A;3 Begriffe mit 10 Fundstellen auf 8 Seiten: Nachhaltigkeit (8), Energieeffizien (1), energieeffizient (1).;A;6 Begriffe mit 9 Fundstellen auf 8 Seiten: prozesssicher (3), Prozesssicherheit (2), Qualitätssicherung (1), Qualitätsmanagement (1).;A;2 Begriffe mit 3 Fundstellen auf 8 Seiten: Lieferant (2), Beschaffung (1).;A;8 Begriffe mit 33 Fundstellen auf 8 Seiten: Entwicklung (9), Konstruktion (9), engineering (4), Konstrukteur (3).
Ferromatik Milacron GmbH;https://www.milacron.com/eu/;C;52;Bedingter Fit;kein Ausschlusskriterium;3 von 12 Kriterien mit A, 3 mit D. Kernprodukt laut Recherche: Spritzgießmaschinen, Mehrkomponenten, Zweiplattenmaschinen. Auf der Website 23 Fundstellen zu Kernbegriffen: injection moulding (15), injection moulding machine (8).;Hoch, recherchiert und Website geprüft, 100 Prozent der Kriterien belegt;79364 Malterdingen;Deutschland;Spritzgießmaschinen, Mehrkomponenten, Zweiplattenmaschinen;500 (Recherche);100 (abgeleitet);Milacron (Bain Capital, USA);VDMA Mitgliederliste, KunststoffWeb, chemie.de, Startliste;Der Handelsregistereintrag nennt als Geschäftsgegenstand Entwicklung, Produktion und Vertrieb von Kunststoffmaschinen für die kunststoffverarbeitende Industrie (https://www.northdata.de/Ferromatik+Milacron+GmbH,+Malterdingen).;https://www.linkedin.com/company/milacron;A;Kernprodukt laut Recherche: Spritzgießmaschinen, Mehrkomponenten, Zweiplattenmaschinen. Auf der Website 23 Fundstellen zu Kernbegriffen: injection moulding (15), injection moulding machine (8).;B;Sitz 79364 Malterdingen, Deutschland, Nachbarland im deutschsprachigen Raum, Zielland ist Österreich.;C;500 Mitarbeiter (Recherche, Gesellschaft: https://www.wer-zu-wem.de/firma/ferromatik.html (Abruf 2026, Angabe: 500 Mitarbeiter in Deutschland)), unter dem ICP-Band 1.001 bis 10.000.;D;100 Mio. EUR (aus 500 Mitarbeitern abgeleitet (0,2 Mio. EUR je Kopf, Maschinenbau)), deutlich unter dem ICP-Band rund 1,6 Mrd. EUR.;B;2 Begriffe mit 4 Fundstellen: precision (3), repeatab (1).;C;Schwacher Beleg, nur CNC (1) auf 7 Seiten.;C;Schwacher Beleg, nur all-electric (1) auf 7 Seiten.;A;3 Begriffe mit 5 Fundstellen auf 7 Seiten: productivity (3), cycle time (1), setup time (1).;D;Keiner der Begriffe auf 7 gecrawlten Seiten gefunden.;D;Keiner der Begriffe auf 7 gecrawlten Seiten gefunden.;A;2 Begriffe mit 10 Fundstellen auf 7 Seiten: Supply Chain (7), Supplier (3).;B;2 Begriffe mit 3 Fundstellen: Innovation (2), engineering (1).
GÜNTHER Heisskanaltechnik GmbH;https://www.guenther-heisskanal.de/;C;52;Bedingter Fit;kein Ausschlusskriterium;5 von 12 Kriterien mit A, 3 mit D. Randbereich der Zielbranche laut Recherche: Heißkanalsysteme, Kaltkanalsysteme, Regeltechnik für Spritzgießwerkzeuge. Auf der Website 21 Fundstellen zu Kernbegriffen: Silikon (7), LSR (7), Spritzguss (4), Spritzgießen (3).;Hoch, recherchiert und Website geprüft, 100 Prozent der Kriterien belegt;35066 Frankenberg (Eder);Deutschland;Heißkanalsysteme, Kaltkanalsysteme, Regeltechnik für Spritzgießwerkzeuge;240 (Recherche);48 (abgeleitet);;Startliste;Startseite: Hinter der Entwicklung unserer innovativen Heißkanal- und Kaltkanalsysteme steht ein engagiertes, hoch qualifiziertes Team von rund 240 Mitarbeiterinnen und Mitarbeitern (https://www.guenther-heisskanal.de/);https://www.linkedin.com/company/g%C3%BCnther-heisskanaltechnik-gmbh;B;Randbereich der Zielbranche laut Recherche: Heißkanalsysteme, Kaltkanalsysteme, Regeltechnik für Spritzgießwerkzeuge. Auf der Website 21 Fundstellen zu Kernbegriffen: Silikon (7), LSR (7), Spritzguss (4), Spritzgießen (3).;B;Sitz 35066 Frankenberg (Eder), Deutschland, Nachbarland im deutschsprachigen Raum, Zielland ist Österreich.;D;240 Mitarbeiter (Recherche, Gesellschaft: https://www.guenther-heisskanal.de/ (2026, rund 240 Mitarbeiterinnen und Mitarbeiter)), deutlich unter dem ICP-Band 1.001 bis 10.000.;D;48 Mio. EUR (aus 240 Mitarbeitern abgeleitet (0,2 Mio. EUR je Kopf, Maschinenbau)), deutlich unter dem ICP-Band rund 1,6 Mrd. EUR.;A;4 Begriffe mit 15 Fundstellen auf 8 Seiten: präzise (9), Präzision (4), Reproduzierbarkeit (1), precision (1).;D;Keiner der Begriffe auf 8 gecrawlten Seiten gefunden.;C;Keiner der Begriffe auf 8 gecrawlten Seiten gefunden. Bauteil- oder Fachvokabular steht selten auf Firmenwebsites, daher kein Abzug bis D.;B;2 Begriffe mit 3 Fundstellen: Zykluszeit (2), Produktivität (1).;A;5 Begriffe mit 12 Fundstellen auf 8 Seiten: Energieeffizien (5), energieeffizient (3), Energieverbrauch (2), Energieeinsparung (1).;A;6 Begriffe mit 24 Fundstellen auf 8 Seiten: zertifiziert (8), prozesssicher (6), Prozesssicherheit (6), ISO 9001 (2).;A;2 Begriffe mit 2 Fundstellen auf 8 Seiten: Einkauf (1), Lieferant (1).;A;6 Begriffe mit 66 Fundstellen auf 8 Seiten: Technikum (31), Konstrukteur (18), Entwicklung (9), Innovation (4).
SHIBAURA MACHINE LWB GmbH;https://www.lwb-steinl.com/;D;50;Schlechter Fit;kein Ausschlusskriterium;"4 von 12 Kriterien mit A, 4 mit D. Kernprodukt laut Recherche: Vertikale und horizontale Spritzgießmaschinen für Elastomere und Thermoplaste. Auf der Website 36 Fundstellen zu Kernbegriffen: Elastomer (13), Spritzgiessmaschine (8), Silikon (8), Spritzgießmaschine (3). Hinweis: Mehrheitsübernahme (80 Prozent) durch Shibaura Machine im Oktober 2025, Umfirmierung von LWB Steinl GmbH & Co. KG in SHIBAURA MACHINE LWB GmbH Für die Gesellschaft ist kein Umsatz veröffentlicht; belegt ist nur die Gruppenzahl: https://www.k-zeitung.de/top-12-ranking-spritzgiessmaschinen-hersteller-umsatz-2024-2025 (Gruppenumsatz Shibaura Machine 2023: 123.500 Mio. JPY, umgerechnet mit 0,0058 EUR je JPY; nicht der Umsatz der deutschen Gesellschaft)";Hoch, recherchiert und Website geprüft, 100 Prozent der Kriterien belegt;84032 Altdorf;Deutschland;Vertikale und horizontale Spritzgießmaschinen für Elastomere und Thermoplaste;200 (Recherche);40 (abgeleitet);Shibaura Machine Co., Ltd. (80 Prozent, Option auf restliche 20 Prozent der Familie Steinl);VDMA, Startliste, K-Zeitung;Karriereseite: Mit rund 200 Mitarbeitern produzieren wir am Hauptsitz in Altdorf, Niederbayern Spritzgießmaschinen (https://jobs.lwb-steinl.com/), Produktprogramm Elastomer- und Thermoplast-Spritzgießmaschinen (https://www.lwb-steinl.com/unternehmen);https://www.linkedin.com/company/lwb-steinl-gmbh-&amp;A;Kernprodukt laut Recherche: Vertikale und horizontale Spritzgießmaschinen für Elastomere und Thermoplaste. Auf der Website 36 Fundstellen zu Kernbegriffen: Elastomer (13), Spritzgiessmaschine (8), Silikon (8), Spritzgießmaschine (3).;B;Sitz 84032 Altdorf, Deutschland, Nachbarland im deutschsprachigen Raum, Zielland ist Österreich.;D;200 Mitarbeiter (Recherche, Standort: https://jobs.lwb-steinl.com/ (2026, rund 200 Mitarbeiter am Hauptsitz Altdorf)), deutlich unter dem ICP-Band 1.001 bis 10.000.;D;40 Mio. EUR (aus 200 Mitarbeitern abgeleitet (0,2 Mio. EUR je Kopf, Maschinenbau)), deutlich unter dem ICP-Band rund 1,6 Mrd. EUR.;C;Schwacher Beleg, nur Präzision (3) auf 8 Seiten.;C;Schwacher Beleg, nur Fertigungstiefe (2) auf 8 Seiten.;A;3 Begriffe mit 10 Fundstellen auf 8 Seiten: toggle (8), vollelektrisch (1), elektrische Spritzgieß (1).;B;2 Begriffe mit 3 Fundstellen: productivity (2), Produktivität (1).;D;Keiner der Begriffe auf 8 gecrawlten Seiten gefunden.;D;Keiner der Begriffe auf 8 gecrawlten Seiten gefunden.;A;2 Begriffe mit 2 Fundstellen auf 8 Seiten: Beschaffung (1), Lieferant (1).;A;2 Begriffe mit 11 Fundstellen auf 8 Seiten: Innovation (10), Entwicklung (1).
